"person","dwell_time_1","dwell_time_2","dwell_time_3","dwell_time_4","dwell_time_5","flight_time_1","flight_time_2","flight_time_3","flight_time_4","pressure_1","pressure_2","pressure_3","pressure_4","pressure_5","area_1","area_2","area_3","area_4","area_5"
"0","73.0","65.0","57.0","49.0","83.0","110.0","176.0","217.0","284.0","0.862500011920929","0.862500011920929","1.0625","1.3125","0.9625000357627869","0.4107142984867096","0.4107142984867096","0.4821428656578064","0.6071428656578064","0.4642857313156128"
"0","65.0","66.0","63.0","40.0","64.0","127.0","177.0","210.0","269.0","0.987500011920929","0.9000000357627869","1.225000023841858","1.2625000476837158","0.987500011920929","0.5","0.4285714626312256","0.5714285969734192","0.5714285969734192","0.4821428656578064"
"0","56.0","74.0","65.0","48.0","57.0","110.0","151.0","201.0","825.0","0.949999988079071","1.0","1.225000023841858","1.1875","0.9625000357627869","0.4464285969734192","0.4821428656578064","0.5535714626312256","0.535714328289032","0.4464285969734192"
"0","64.0","55.0","48.0","48.0","65.0","104.0","184.0","244.0","268.0","0.862500011920929","0.8500000238418579","1.1375000476837158","1.162500023841858","1.0500000715255737","0.4107142984867096","0.392857164144516","0.5178571939468384","0.535714328289032","0.5"
"0","65.0","56.0","56.0","56.0","63.0","111.0","185.0","202.0","262.0","0.9000000357627869","0.7750000357627869","1.212499976158142","1.274999976158142","1.149999976158142","0.4464285969734192","0.3571428656578064","0.5535714626312256","0.5714285969734192","0.5535714626312256"
"0","73.0","65.0","57.0","49.0","24.0","110.0","201.0","258.0","301.0","0.8500000238418579","0.9000000357627869","1.0500000715255737","1.2000000476837158","0.6875","0.392857164144516","0.4285714626312256","0.5","0.5714285969734192","0.3214285969734192"
"0","72.0","57.0","66.0","48.0","65.0","102.0","208.0","218.0","260.0","0.949999988079071","0.875","1.037500023841858","1.274999976158142","1.149999976158142","0.4464285969734192","0.4107142984867096","0.4821428656578064","0.5892857313156128","0.535714328289032"
"0","65.0","40.0","56.0","49.0","57.0","118.0","194.0","226.0","934.0","0.887499988079071","0.824999988079071","1.162500023841858","1.1875","0.887499988079071","0.4107142984867096","0.3750000298023224","0.535714328289032","0.5714285969734192","0.4107142984867096"
"0","48.0","65.0","57.0","40.0","66.0","118.0","193.0","226.0","267.0","0.875","0.9625000357627869","1.0","1.149999976158142","1.087499976158142","0.4107142984867096","0.4464285969734192","0.4642857313156128","0.535714328289032","0.5178571939468384"
"0","73.0","41.0","48.0","38.0","73.0","142.0","235.0","228.0","286.0","0.8125","0.8125","1.0625","1.225000023841858","1.1375000476837158","0.392857164144516","0.3750000298023224","0.5","0.5714285969734192","0.535714328289032"
